,Year,ZIP_Code,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Revision_Date
494357,2011,93792,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494358,2011,93792,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494359,2011,93792,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494360,2011,93792,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494361,2011,93792,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494364,2011,93792,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
494376,2011,93793,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494377,2011,93793,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494378,2011,93793,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494379,2011,93793,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494380,2011,93793,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494381,2011,93793,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494382,2011,93793,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494383,2011,93793,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494384,2011,93793,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494385,2011,93793,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494386,2011,93793,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494387,2011,93793,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494388,2011,93793,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494389,2011,93793,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494392,2011,93793,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
494404,2011,93794,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494405,2011,93794,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494406,2011,93794,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494407,2011,93794,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494408,2011,93794,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494409,2011,93794,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494410,2011,93794,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494411,2011,93794,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494412,2011,93794,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494413,2011,93794,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494414,2011,93794,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494415,2011,93794,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494416,2011,93794,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494417,2011,93794,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494420,2011,93794,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
494432,2011,93844,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494433,2011,93844,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494434,2011,93844,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494435,2011,93844,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494436,2011,93844,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494437,2011,93844,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494438,2011,93844,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494439,2011,93844,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494440,2011,93844,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494441,2011,93844,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494442,2011,93844,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494443,2011,93844,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494444,2011,93844,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494445,2011,93844,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494448,2011,93844,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
494460,2011,93888,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494461,2011,93888,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494462,2011,93888,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494463,2011,93888,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494464,2011,93888,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494465,2011,93888,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494466,2011,93888,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494467,2011,93888,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494468,2011,93888,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494469,2011,93888,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494470,2011,93888,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494471,2011,93888,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494472,2011,93888,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494473,2011,93888,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
494476,2011,93888,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
566896,2012,93650,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,44.0,,,12/06/2022
566897,2012,93650,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566898,2012,93650,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
566899,2012,93650,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
566900,2012,93650,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566901,2012,93650,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566902,2012,93650,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566903,2012,93650,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566904,2012,93650,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566905,2012,93650,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566906,2012,93650,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
566907,2012,93650,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,16.0,,,12/06/2022
566908,2012,93650,Residence,Gender,Female,ALL,All causes (total),ICD-10,26.0,,,12/06/2022
566909,2012,93650,Residence,Gender,Male,ALL,All causes (total),ICD-10,18.0,,,12/06/2022
566912,2012,93650,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567428,2012,93701,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,49.0,,,12/06/2022
567429,2012,93701,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567430,2012,93701,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567431,2012,93701,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567432,2012,93701,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567433,2012,93701,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567434,2012,93701,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567435,2012,93701,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2022
567436,2012,93701,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567437,2012,93701,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567438,2012,93701,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567439,2012,93701,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567440,2012,93701,Residence,Gender,Female,ALL,All causes (total),ICD-10,26.0,,,12/06/2022
567441,2012,93701,Residence,Gender,Male,ALL,All causes (total),ICD-10,23.0,,,12/06/2022
567444,2012,93701,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567456,2012,93702,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,239.0,,,12/06/2022
567457,2012,93702,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567458,2012,93702,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567459,2012,93702,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567460,2012,93702,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567461,2012,93702,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567462,2012,93702,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,12.0,,,12/06/2022
567463,2012,93702,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,29.0,,,12/06/2022
567464,2012,93702,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,40.0,,,12/06/2022
567465,2012,93702,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,36.0,,,12/06/2022
567466,2012,93702,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,42.0,,,12/06/2022
567467,2012,93702,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,59.0,,,12/06/2022
567468,2012,93702,Residence,Gender,Female,ALL,All causes (total),ICD-10,107.0,,,12/06/2022
567469,2012,93702,Residence,Gender,Male,ALL,All causes (total),ICD-10,132.0,,,12/06/2022
567472,2012,93702,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567484,2012,93703,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,236.0,,,12/06/2022
567485,2012,93703,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567486,2012,93703,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567487,2012,93703,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567488,2012,93703,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567489,2012,93703,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2022
567490,2012,93703,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2022
567491,2012,93703,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,31.0,,,12/06/2022
567492,2012,93703,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,31.0,,,12/06/2022
567493,2012,93703,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,41.0,,,12/06/2022
567494,2012,93703,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,43.0,,,12/06/2022
567495,2012,93703,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,51.0,,,12/06/2022
567496,2012,93703,Residence,Gender,Female,ALL,All causes (total),ICD-10,90.0,,,12/06/2022
567497,2012,93703,Residence,Gender,Male,ALL,All causes (total),ICD-10,146.0,,,12/06/2022
567500,2012,93703,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567512,2012,93704,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,238.0,,,12/06/2022
567513,2012,93704,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567514,2012,93704,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567515,2012,93704,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567516,2012,93704,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567517,2012,93704,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567518,2012,93704,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567519,2012,93704,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,18.0,,,12/06/2022
567520,2012,93704,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,35.0,,,12/06/2022
567521,2012,93704,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,43.0,,,12/06/2022
567522,2012,93704,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,43.0,,,12/06/2022
567523,2012,93704,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,87.0,,,12/06/2022
567524,2012,93704,Residence,Gender,Female,ALL,All causes (total),ICD-10,118.0,,,12/06/2022
567525,2012,93704,Residence,Gender,Male,ALL,All causes (total),ICD-10,120.0,,,12/06/2022
567528,2012,93704,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567540,2012,93705,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,296.0,,,12/06/2022
567541,2012,93705,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567542,2012,93705,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567543,2012,93705,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567544,2012,93705,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567545,2012,93705,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567546,2012,93705,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567547,2012,93705,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,23.0,,,12/06/2022
567548,2012,93705,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,35.0,,,12/06/2022
567549,2012,93705,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,39.0,,,12/06/2022
567550,2012,93705,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,74.0,,,12/06/2022
567551,2012,93705,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,92.0,,,12/06/2022
567552,2012,93705,Residence,Gender,Female,ALL,All causes (total),ICD-10,134.0,,,12/06/2022
567553,2012,93705,Residence,Gender,Male,ALL,All causes (total),ICD-10,162.0,,,12/06/2022
567556,2012,93705,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,16.0,,,12/06/2022
567568,2012,93706,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,284.0,,,12/06/2022
567569,2012,93706,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567570,2012,93706,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567571,2012,93706,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567572,2012,93706,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567573,2012,93706,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567574,2012,93706,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2022
567575,2012,93706,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,23.0,,,12/06/2022
567576,2012,93706,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,51.0,,,12/06/2022
567577,2012,93706,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,40.0,,,12/06/2022
567578,2012,93706,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,57.0,,,12/06/2022
567579,2012,93706,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,81.0,,,12/06/2022
567580,2012,93706,Residence,Gender,Female,ALL,All causes (total),ICD-10,130.0,,,12/06/2022
567581,2012,93706,Residence,Gender,Male,ALL,All causes (total),ICD-10,154.0,,,12/06/2022
567584,2012,93706,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567596,2012,93707,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567597,2012,93707,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567598,2012,93707,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567599,2012,93707,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567600,2012,93707,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567601,2012,93707,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567602,2012,93707,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567603,2012,93707,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567604,2012,93707,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567605,2012,93707,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567606,2012,93707,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567607,2012,93707,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567608,2012,93707,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567609,2012,93707,Residence,Gender,Male,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567612,2012,93707,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
567624,2012,93708,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567625,2012,93708,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567626,2012,93708,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567627,2012,93708,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567628,2012,93708,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567629,2012,93708,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567630,2012,93708,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567631,2012,93708,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567632,2012,93708,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567633,2012,93708,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567634,2012,93708,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567635,2012,93708,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567636,2012,93708,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567637,2012,93708,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567640,2012,93708,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
567652,2012,93709,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567653,2012,93709,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567654,2012,93709,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567655,2012,93709,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567656,2012,93709,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567657,2012,93709,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567658,2012,93709,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567659,2012,93709,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567660,2012,93709,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567661,2012,93709,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567662,2012,93709,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567663,2012,93709,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567664,2012,93709,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567665,2012,93709,Residence,Gender,Male,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567668,2012,93709,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2022
567680,2012,93710,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,234.0,,,12/06/2022
567681,2012,93710,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567682,2012,93710,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567683,2012,93710,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567684,2012,93710,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567685,2012,93710,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567686,2012,93710,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567687,2012,93710,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567688,2012,93710,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,29.0,,,12/06/2022
567689,2012,93710,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,29.0,,,12/06/2022
567690,2012,93710,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,58.0,,,12/06/2022
567691,2012,93710,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,99.0,,,12/06/2022
567692,2012,93710,Residence,Gender,Female,ALL,All causes (total),ICD-10,121.0,,,12/06/2022
567693,2012,93710,Residence,Gender,Male,ALL,All causes (total),ICD-10,113.0,,,12/06/2022
567696,2012,93710,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567708,2012,93711,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,315.0,,,12/06/2022
567709,2012,93711,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567710,2012,93711,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567711,2012,93711,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567712,2012,93711,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567713,2012,93711,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567714,2012,93711,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567715,2012,93711,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2022
567716,2012,93711,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,31.0,,,12/06/2022
567717,2012,93711,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,52.0,,,12/06/2022
567718,2012,93711,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,74.0,,,12/06/2022
567719,2012,93711,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,140.0,,,12/06/2022
567720,2012,93711,Residence,Gender,Female,ALL,All causes (total),ICD-10,153.0,,,12/06/2022
567721,2012,93711,Residence,Gender,Male,ALL,All causes (total),ICD-10,162.0,,,12/06/2022
567724,2012,93711,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,11.0,,,12/06/2022
567736,2012,93712,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567737,2012,93712,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567738,2012,93712,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567739,2012,93712,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567740,2012,93712,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567741,2012,93712,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567742,2012,93712,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567743,2012,93712,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567744,2012,93712,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
567745,2012,93712,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2022
